STATE/UT,DISTRICT,Year,Murder,Rape,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs,Total crimes against SCs
MADHYA PRADESH,KATNI,2007,1,6,0,0,0,0,2,26,0,17,52
MADHYA PRADESH,KHANDWA,2007,0,1,0,0,0,0,3,0,0,36,40
MADHYA PRADESH,KHARGON,2007,0,3,0,0,0,1,4,0,0,7,15
MADHYA PRADESH,MANDLA,2007,0,2,0,0,0,0,2,0,0,5,9
MADHYA PRADESH,MANDSAUR,2007,2,4,3,0,1,5,5,0,0,97,117
MADHYA PRADESH,MORENA,2007,6,11,1,0,2,2,18,0,0,160,200
MADHYA PRADESH,NARSINGHPUR,2007,1,4,1,0,0,1,26,0,0,32,65
MADHYA PRADESH,NEEMUCH,2007,1,4,1,0,0,0,2,0,0,22,30
MADHYA PRADESH,PANNA,2007,1,2,0,0,0,2,1,45,0,39,90
MADHYA PRADESH,RAISEN,2007,1,17,1,0,0,0,11,0,0,50,80
MADHYA PRADESH,RAJGARH,2007,1,13,0,0,0,1,61,0,0,61,137
MADHYA PRADESH,RATLAM,2007,0,5,1,0,0,0,20,0,0,87,113
MADHYA PRADESH,REWA,2007,0,13,1,0,0,1,1,42,0,24,82
MADHYA PRADESH,SAGAR,2007,7,17,0,0,0,1,9,0,0,108,142
MADHYA PRADESH,SATNA,2007,2,13,2,0,3,2,49,0,0,77,148
MADHYA PRADESH,SEONI,2007,0,5,1,0,0,0,0,23,0,17,46
MADHYA PRADESH,SHAHDOL,2007,0,1,0,0,0,0,6,0,0,5,12
MADHYA PRADESH,SHAJAPUR,2007,2,12,0,0,0,1,11,2,0,159,187
MADHYA PRADESH,SHEOPUR,2007,0,2,0,0,0,0,5,0,0,32,39
MADHYA PRADESH,SHIVPURI,2007,1,15,2,0,0,1,15,0,0,96,130
MADHYA PRADESH,SIDHI,2007,1,7,1,0,0,1,2,23,0,11,46
MADHYA PRADESH,SIHORE,2007,2,5,1,0,0,0,20,0,0,87,115
MADHYA PRADESH,TIKAMGARH,2007,3,8,1,0,0,2,36,0,0,22,72
MADHYA PRADESH,UJJAIN,2007,4,11,3,0,2,0,38,0,0,325,383
MADHYA PRADESH,UMARIYA,2007,0,2,0,0,0,1,12,0,0,7,22
